source_file,match_id,status,confidence,result,source_duration_seconds,clip_start_seconds,clip_end_seconds,full_duration_reviewed,review_start_seconds,review_end_seconds,valid_2v2_games,record_count,ignore_reason,overlap_note,notes,source_size_bytes
match_026.mp4,may24_2450_match_026,analysed,high,loss,123.583333,10,109,True,0,123.583333,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,76209351
match_027.mp4,may24_2450_match_027,uncertain,medium,win,126.15,12,111,True,0,126.15,1,1,,,Administrative win after meaningful normal2v2 combat; all four killing blows0; favourable kill state not reached,69949153
match_028.mp4,may24_2450_match_028,analysed,high,loss,83.483333,11,69,True,0,83.483333,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,47185617
match_029.mp4,may24_2450_match_029,analysed,high,loss,135.95,13,121,True,0,135.95,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,62303817
match_030.mp4,may24_2450_match_030,analysed,high,loss,99.316667,12,84,True,0,99.316667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,51642269
match_031.mp4,may24_2450_match_031,analysed,high,win,211.216667,12,195,True,0,211.216667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,133944466
match_032.mp4,may24_2450_match_032,analysed,high,loss,197.15,13,182,True,0,197.15,1,1,,,Friendly Priest dies before solo Rogue counter-kill; final scoreboard confirms loss,114055300
match_033.mp4,may24_2450_match_033,analysed,high,win,165.25,14,150,True,0,165.25,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,110470577
match_034.mp4,may24_2450_match_034,analysed,high,win,99.683333,11,78,True,0,99.683333,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,53587218
match_035.mp4,may24_2450_match_035,analysed,high,loss,177.65,14,162,True,0,177.65,1,1,,,Friendly Priest dies before solo Priest counter-kill; subsequent Rogue duel lost,107216567
match_036.mp4,may24_2450_match_036,analysed,high,win,122.916667,14,107.5,True,0,122.916667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,78435792
match_037.mp4,may24_2450_match_037,uncertain,medium,win,164.983333,13,149,True,0,164.983333,1,1,,,Administrative win after meaningful normal2v2 combat; all four killing blows0; transient0% is not death,108686340
match_038.mp4,may24_2450_match_038,analysed,high,win,216.95,13,201.5,True,0,216.95,1,1,,,Friendly Priest Sap is not death; later Rogue kill confirmed,134022385
match_039.mp4,may24_2450_match_039,analysed,high,win,120.75,14,105,True,0,120.75,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,68305551
match_040.mp4,may24_2450_match_040,analysed,medium,loss,118.316667,10,103,True,0,118.316667,1,1,,,No final scoreboard; loss inferred from departure after friendly Priest death,64863234
match_041.mp4,may24_2450_match_041,analysed,medium,loss,127.95,13,113,True,0,127.95,1,1,,,No final scoreboard; loss inferred from departure after friendly Priest death,57618494
match_042.mp4,may24_2450_match_042,analysed,medium,loss,187.383333,13,172,True,0,187.383333,1,1,,,No final scoreboard; loss inferred from departure after friendly Priest death,101408638
match_043.mp4,may24_2450_match_043,analysed,medium,loss,124.016667,11,109,True,0,124.016667,1,1,,,No final scoreboard; loss inferred from departure after friendly Priest death; damage opening target unknown,68014188
match_044.mp4,may24_2450_match_044,analysed,high,win,266.583333,11,251,True,0,266.583333,1,1,,,Original2v2 friendly death then solo Rogue kills both enemies; scoreboard confirms win,162891794
