source_file,match_id,status,confidence,ignore_reason,clip_start_seconds,clip_end_seconds,source_duration_seconds,notes
match_034.mp4,may18_2500_match_034,uncertain,medium,,0,102,102.283,
match_035.mp4,may18_2500_match_035,analysed,high,,0,140,139.85,Whole-second record end rounds above exact duration by 0.15s.
match_036.mp4,may18_2500_match_036,uncertain,medium,,0,101,100.55,Whole-second record end rounds above exact duration by 0.45s.
match_037.mp4,may18_2500_match_037,analysed,high,,0,93,92.65,Whole-second record end rounds above exact duration by 0.35s.
match_038.mp4,may18_2500_match_038,uncertain,medium,,0,124,124.717,
match_039.mp4,may18_2500_match_039,analysed,high,,0,158,159.683,
match_040.mp4,may18_2500_match_040,uncertain,medium,,0,158,158.817,
match_041.mp4,may18_2500_match_041,analysed,high,,0,187,187.383,
match_042.mp4,may18_2500_match_042,uncertain,medium,,34,122,147.65,123-147s contains next-game preparation only; no second completed game.
match_043.mp4,may18_2500_match_043,analysed,high,,66,131,154.517,Ending also appears at the start of match_044; counted here only.
match_044.mp4,may18_2500_match_044,uncertain,medium,,57,157,172.517,0-5s duplicates match_043 ending; only the new 57-157s game is counted here.
match_045.mp4,may18_2500_match_045,analysed,high,,51,160,175.883,
match_046.mp4,may18_2500_match_046,uncertain,medium,,44,154,169.083,Friendly Priest spec unknown; see uncertainty report.
match_047.mp4,may18_2500_match_047,analysed,high,,40,121,136.45,
match_048.mp4,may18_2500_match_048,analysed,high,,33,65,80.85,
match_049.mp4,may18_2500_match_049,uncertain,medium,,69,194.5,209.617,Round win without established player death.
match_050.mp4,may18_2500_match_050,analysed,high,,49,109,125.283,
match_051.mp4,may18_2500_match_051,analysed,high,,28,88.5,104.683,
match_052.mp4,may18_2500_match_052,analysed,high,,59,118,134.25,
match_053.mp4,may18_2500_match_053,analysed,high,,47,93,109.05,
match_054.mp4,may18_2500_match_054,analysed,high,,62,118,134.017,
match_055.mp4,may18_2500_match_055,analysed,high,,27,114,129.483,
match_056.mp4,may18_2500_match_056,analysed,high,,48,114,129.65,
match_057.mp4,may18_2500_match_057,analysed,high,,37,107,122.983,
match_058.mp4,may18_2500_match_058,uncertain,medium,,65,119.5,135.05,Round win without established player death.
match_059.mp4,may18_2500_match_059,analysed,high,,54,121,137.717,
match_060.mp4,may18_2500_match_060,analysed,high,,52,92,108.383,
match_061.mp4,may18_2500_match_061,uncertain,medium,,73,126,142.35,Opening commitment ambiguous; see uncertainty report.
match_062.mp4,may18_2500_match_062,analysed,high,,54,179,194.683,
match_063.mp4,may18_2500_match_063,analysed,high,,39,99,114.783,
match_064.mp4,may18_2500_match_064,analysed,high,,35,77,92.417,
match_065.mp4,may18_2500_match_065,analysed,high,,36,112,125.683,
match_066.mp4,may18_2500_match_066,analysed,high,,57,173,187.55,
match_067.mp4,may18_2500_match_067,analysed,high,,70,152,167.017,
match_068.mp4,may18_2500_match_068,analysed,high,,70,146,161.983,
match_069.mp4,may18_2500_match_069,analysed,high,,34,90,105.983,
match_070.mp4,may18_2500_match_070,analysed,high,,69,118,133.917,
match_071.mp4,may18_2500_match_071,analysed,high,,34,120,146.75,
match_072.mp4,may18_2500_match_072,analysed,high,,35,101,116.817,Initial town/preparation overlaps match_071 preparation; no duplicate combat record.
match_073.mp4,may18_2500_match_073,analysed,high,,41,132,147.783,
match_074.mp4,may18_2500_match_074,analysed,high,,56,83,97.517,Enemy Death Knight Trinket is used after friendly Priest death; not retroactively unavailable at failure.
match_075.mp4,may18_2500_match_075,uncertain,medium,,39,66,81.117,
match_076.mp4,may18_2500_match_076,analysed,high,,40,119,133.917,
match_077.mp4,may18_2500_match_077,analysed,high,,34,62,77.117,
match_078.mp4,may18_2500_match_078,analysed,high,,36,85,99.383,
